,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
0,Dealer,0,0,3,1282.568807,1,1,"6th Phase JP Nagar,Bangalore",35.0,136.0,69.9
1,Owner,0,0,2,1200.087279,1,1,"6th Phase JP Nagar,Bangalore",35.0,136.0,55.0
2,Dealer,0,0,2,1099.796334,1,1,"6th Phase JP Nagar,Bangalore",35.0,136.0,54.0
3,Owner,0,0,3,1439.884809,1,1,"6th Phase JP Nagar,Bangalore",35.0,136.0,120.0
4,Dealer,0,0,2,1100.16044,1,1,"6th Phase JP Nagar,Bangalore",35.0,136.0,48.0
5,Owner,0,0,3,1500.110302,1,1,"6th Phase JP Nagar,Bangalore",35.0,136.0,68.0
6,Owner,0,0,3,1650.165017,1,1,"6th Phase JP Nagar,Bangalore",35.0,136.0,70.0
7,Owner,0,0,3,1796.324444,1,1,"6th Phase JP Nagar,Bangalore",35.0,136.0,130.0
8,Dealer,0,0,2,1171.652422,1,1,"6th Phase JP Nagar,Bangalore",35.0,136.0,65.8
9,Owner,0,0,2,1210.067764,1,1,"6th Phase JP Nagar,Bangalore",35.0,136.0,75.0
10,Dealer,0,0,2,1400.147384,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,76.0
11,Dealer,0,0,2,1270.173341,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,85.0
12,Dealer,0,0,3,1607.012418,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,110.0
13,Dealer,0,0,3,1607.012418,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,110.0
14,Dealer,0,0,3,1400.115473,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,97.0
15,Dealer,0,0,3,1578.418711,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,110.0
16,Dealer,0,0,3,1650.165017,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,110.0
17,Dealer,0,0,3,1678.086981,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,120.0
18,Dealer,0,0,2,1390.108282,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,95.0
19,Owner,0,0,3,1620.482904,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,100.0
20,Dealer,0,0,3,2036.400662,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,160.0
21,Dealer,0,0,3,1400.195376,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,86.0
22,Dealer,0,0,3,1577.73953,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,110.0
23,Dealer,0,0,2,1200.1010609999996,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,95.0
24,Dealer,0,0,3,1790.140457,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,130.0
25,Dealer,0,0,2,1275.071633,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,89.0
26,Dealer,0,0,3,1680.020677,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,130.0
27,Dealer,0,0,2,1050.112987,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,79.0
28,Owner,0,0,2,1050.105011,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,70.0
29,Owner,0,0,2,1100.016923,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,65.0
30,Dealer,0,0,3,1652.6649220000004,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,120.0
31,Dealer,0,0,3,1612.903226,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,120.0
32,Dealer,0,0,3,1612.19405,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,110.0
33,Owner,0,0,3,1780.1513129999996,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,120.0
34,Dealer,0,0,2,980.1053248,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,67.0
35,Dealer,0,0,3,1579.551982,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,110.0
36,Dealer,0,0,2,980.1214798,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,71.0
37,Dealer,0,0,3,1600.0,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,110.0
38,Dealer,0,0,2,1365.088586,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,94.0
39,Dealer,0,0,3,1400.195376,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,86.0
40,Dealer,0,0,2,1364.942529,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,95.0
41,Dealer,0,0,3,1390.627173,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,100.0
42,Owner,0,0,2,1120.056003,1,1,"8th Phase JP Nagar,Bangalore",12.905368,77.580403,64.0
43,Owner,0,0,3,1542.236243,1,1,"8th Phase JP Nagar,Bangalore",12.905368,77.580403,88.0
44,Dealer,0,0,3,136748.9864,1,0,"8th Phase JP Nagar,Bangalore",12.905368,77.580403,7420.0
45,Dealer,1,1,2,1042.160114,0,1,"8th Phase JP Nagar,Bangalore",12.905368,77.580403,66.0
46,Owner,0,0,2,1050.110538,1,1,"8th Phase JP Nagar,Bangalore",12.905368,77.580403,57.0
47,Owner,0,0,2,1417.23356,1,1,"8th Phase JP Nagar,Bangalore",12.905368,77.580403,75.0
48,Dealer,1,1,3,1408.186256,0,1,"8th Phase JP Nagar,Bangalore",12.905368,77.580403,75.0
49,Dealer,0,1,2,1199.035951,1,1,"8th Phase JP Nagar,Bangalore",12.905368,77.580403,59.7
50,Dealer,0,1,2,1180.149284,1,1,"8th Phase JP Nagar,Bangalore",12.905368,77.580403,58.5
51,Owner,0,1,2,1009.174312,1,1,"8th Phase JP Nagar,Bangalore",12.905368,77.580403,55.0
52,Dealer,0,1,2,1190.0,1,1,"8th Phase JP Nagar,Bangalore",12.905368,77.580403,59.5
53,Builder,1,1,3,157454.5455,0,0,"8th Phase JP Nagar,Bangalore",12.905368,77.580403,8660.0
54,Dealer,0,0,2,1041.214751,1,1,"Action Area I,Kolkata",22.54111,88.33778000000002,48.0
55,Dealer,0,0,3,1080.089668,1,1,"Action Area I,Kolkata",22.54111,88.33778000000002,53.0
56,Dealer,0,0,2,972.1608484,1,1,"Action Area I,Kolkata",22.54111,88.33778000000002,44.0
57,Dealer,0,0,3,1250.0,1,1,"Action Area I,Kolkata",22.54111,88.33778000000002,60.0
58,Dealer,0,0,2,730.0792657000002,1,1,"Action Area I,Kolkata",22.54111,88.33778000000002,35.0
59,Dealer,0,0,2,1040.221914,1,1,"Action Area I,Kolkata",22.54111,88.33778000000002,45.0
60,Dealer,0,0,3,1250.0,1,1,"Action Area I,Kolkata",22.54111,88.33778000000002,62.0
61,Dealer,1,0,3,1238.244514,0,1,"Action Area I,Kolkata",22.54111,88.33778000000002,63.2
62,Dealer,0,0,3,1683.277962,1,1,"Action Area II,Kolkata",22.54111,88.33778000000002,76.0
63,Dealer,0,0,3,1240.079365,1,1,"Action Area II,Kolkata",22.54111,88.33778000000002,75.0
64,Dealer,0,0,3,1936.278824,1,1,"Action Area II,Kolkata",22.54111,88.33778000000002,110.0
65,Dealer,0,0,3,1913.043478,1,1,"Action Area II,Kolkata",22.54111,88.33778000000002,110.0
66,Dealer,0,0,3,2165.488945,1,1,"Action Area II,Kolkata",22.54111,88.33778000000002,95.0
67,Dealer,0,0,3,1540.178571,1,1,"Action Area II,Kolkata",22.54111,88.33778000000002,69.0
68,Dealer,0,0,3,1264.066595,1,1,"Action Area II,Kolkata",22.54111,88.33778000000002,82.0
69,Dealer,0,0,3,1913.875598,1,1,"Action Area II,Kolkata",22.54111,88.33778000000002,120.0
70,Owner,0,0,2,1290.322581,1,1,"Adajan,Surat",24.395822,78.989627,48.0
71,Dealer,0,0,4,2200.4889980000007,1,1,"Adajan,Surat",24.395822,78.989627,90.0
72,Dealer,0,0,1,650.0171057,1,1,"Adajan,Surat",24.395822,78.989627,19.0
73,Owner,0,0,3,1400.124456,1,1,"Adajan,Surat",24.395822,78.989627,45.0
74,Dealer,0,0,2,1150.117018,1,1,"Adajan,Surat",24.395822,78.989627,34.4
75,Owner,0,0,2,1100.110011,1,1,"Adajan,Surat",24.395822,78.989627,40.0
76,Owner,0,0,2,990.0990099,1,1,"Adajan,Surat",24.395822,78.989627,30.0
77,Owner,0,0,2,1280.2275960000004,1,1,"Adajan,Surat",24.395822,78.989627,45.0
78,Dealer,0,0,1,750.0,1,1,"Adajan,Surat",24.395822,78.989627,24.0
79,Owner,0,0,2,1270.110076,1,1,"Adajan,Surat",24.395822,78.989627,45.0
80,Owner,0,0,1,800.0,1,1,"Adajan,Surat",24.395822,78.989627,25.0
81,Dealer,0,0,2,1050.213325,1,1,"Adajan,Surat",24.395822,78.989627,32.0
82,Owner,0,0,1,672.2418784,1,1,"Adajan,Surat",24.395822,78.989627,20.9
83,Dealer,0,0,2,1230.138391,1,1,"Adajan,Surat",24.395822,78.989627,48.0
84,Owner,0,0,2,771.1677682999998,1,1,"Adajan,Surat",24.395822,78.989627,24.5
85,Dealer,0,0,2,1251.303441,1,1,"Adajan,Surat",24.395822,78.989627,36.0
86,Dealer,0,1,3,1730.7692309999998,1,1,"Adajan,Surat",24.395822,78.989627,72.0
87,Owner,0,0,3,1408.090118,1,1,"Adajan,Surat",24.395822,78.989627,55.0
88,Dealer,0,0,2,1070.009172,1,1,"Adajan,Surat",24.395822,78.989627,35.0
89,Owner,0,0,1,700.0259269,1,1,"Adajan,Surat",24.395822,78.989627,27.0
90,Owner,0,0,1,782.0469228,1,1,"Adajan,Surat",24.395822,78.989627,23.0
91,Owner,0,0,2,980.1176141,1,1,"Adajan,Surat",24.395822,78.989627,35.0
92,Owner,0,0,2,1055.312955,1,1,"Adajan,Surat",24.395822,78.989627,29.0
93,Dealer,0,0,2,1285.347044,1,1,"Adajan,Surat",24.395822,78.989627,45.0
94,Owner,0,0,2,974.7292419,1,1,"Adajan,Surat",24.395822,78.989627,27.0
95,Dealer,0,0,2,1200.0,1,1,"Adajan,Surat",24.395822,78.989627,42.0
96,Dealer,0,0,3,1645.141451,1,1,"Adityapur,Jamshedpur",22.7808,86.1522,53.5
97,Dealer,1,0,3,1183.522902,0,1,"Adityapur,Jamshedpur",22.7808,86.1522,38.5
98,Owner,0,0,3,1406.25,1,1,"Adityapur,Jamshedpur",22.7808,86.1522,45.0
99,Owner,0,0,2,817.1912833,1,1,"Adityapur,Jamshedpur",22.7808,86.1522,27.0
100,Owner,0,0,3,1220.362622,1,1,"Adityapur,Jamshedpur",22.7808,86.1522,35.0
101,Dealer,0,0,3,1444.99179,1,1,"Adityapur,Jamshedpur",22.7808,86.1522,44.0
102,Owner,0,0,3,1315.020456,1,1,"Adityapur,Jamshedpur",22.7808,86.1522,45.0
103,Dealer,1,0,3,1620.14299,0,1,"Adityapur,Jamshedpur",22.7808,86.1522,52.12
104,Builder,0,0,2,1022.580645,1,0,"Adityapur,Jamshedpur",22.7808,86.1522,31.7
105,Owner,0,0,3,1220.173536,1,1,"Adityapur,Jamshedpur",22.7808,86.1522,45.0
106,Dealer,0,0,3,1500.0,1,1,"Adityapur,Jamshedpur",22.7808,86.1522,54.0
107,Owner,0,0,2,830.0252616,1,1,"Adityapur,Jamshedpur",22.7808,86.1522,23.0
108,Dealer,0,0,3,1498.229365,1,1,"Adityapur,Jamshedpur",22.7808,86.1522,55.0
109,Builder,0,0,3,1312.903226,1,0,"Adityapur,Jamshedpur",22.7808,86.1522,40.7
110,Owner,0,0,2,1250.0,1,1,"Adityapur,Jamshedpur",22.7808,86.1522,45.0
111,Dealer,1,1,3,1408.15719,0,1,"Aerocity,Mohali",30.696627000000003,76.693764,47.3
112,Dealer,0,1,3,1409.945421,1,1,"Aerocity,Mohali",30.696627000000003,76.693764,46.5
113,Dealer,1,1,3,1409.077425,0,1,"Aerocity,Mohali",30.696627000000003,76.693764,47.5
114,Dealer,1,1,3,1409.495549,0,1,"Aerocity,Mohali",30.696627000000003,76.693764,47.5
115,Dealer,1,1,3,1408.659549,0,1,"Aerocity,Mohali",30.696627000000003,76.693764,47.5
116,Dealer,1,1,3,1407.407407,0,1,"Aerocity,Mohali",30.696627000000003,76.693764,47.5
117,Dealer,1,1,3,1410.029499,0,1,"Aerocity,Mohali",30.696627000000003,76.693764,47.8
118,Dealer,1,1,3,1409.6783890000004,0,1,"Aerocity,Mohali",30.696627000000003,76.693764,46.9
119,Dealer,0,0,3,1773.0496449999996,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,120.0
120,Dealer,0,1,3,1671.6817119999996,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,100.0
121,Dealer,0,0,2,1150.054765,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,63.0
122,Dealer,0,0,2,1135.190918,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,66.0
123,Owner,0,0,2,1255.155101,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,70.0
124,Dealer,0,0,2,1150.0261369999996,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,66.0
125,Dealer,0,0,2,1350.078493,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,86.0
126,Owner,0,0,2,1349.849135,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,85.0
127,Dealer,0,0,3,1573.564123,1,0,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,100.0
128,Dealer,0,0,2,1135.1267300000004,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,73.0
129,Dealer,0,0,3,1275.8356720000004,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,100.0
130,Owner,1,0,2,760.0950119,0,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,48.0
131,Dealer,0,0,4,4153.269025,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,310.0
132,Owner,0,0,2,1350.135014,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,90.0
133,Dealer,0,0,3,1300.052002,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,100.0
134,Dealer,0,0,3,1566.1839,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,93.0
135,Dealer,0,0,3,2026.085855,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,160.0
136,Dealer,0,0,2,1275.8356720000004,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,100.0
137,Dealer,0,1,3,1836.210062,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,100.0
138,Dealer,0,0,4,2579.274769,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,170.0
139,Dealer,0,0,2,1136.959944,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,65.0
140,Dealer,0,1,3,1673.640167,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,100.0
141,Dealer,0,0,4,2511.210762,1,1,"Ahinsa Khand 1,Ghaziabad",28.9196,76.8972,140.0
142,Owner,0,0,2,1250.0,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,52.0
143,Owner,0,0,2,1199.637845,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,53.0
144,Dealer,0,0,3,1200.0,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,75.0
145,Owner,0,0,3,1549.833095,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,65.0
146,Dealer,0,0,2,1250.0,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,40.0
147,Dealer,0,1,3,1575.324331,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,59.5
148,Owner,0,0,3,1635.220126,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,65.0
149,Dealer,0,0,3,1620.2742,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,78.0
150,Dealer,0,0,3,1975.308642,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,80.0
151,Dealer,0,1,2,1150.054765,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,42.0
152,Dealer,0,0,3,1200.0,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,72.0
153,Dealer,0,0,2,1297.974414,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,48.7
154,Dealer,0,1,3,1575.013348,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,59.0
155,Dealer,0,0,2,1075.268817,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,40.0
156,Dealer,0,1,2,1150.040118,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,43.0
157,Dealer,0,0,2,920.1042785,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,60.0
158,Dealer,0,1,3,1575.2351099999996,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,60.3
159,Owner,0,0,2,881.0136607000002,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,44.5
160,Owner,0,0,2,1082.055906,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,48.0
161,Dealer,0,0,3,1765.138514,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,72.0
162,Owner,0,0,3,1725.3439030000004,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,74.0
163,Dealer,0,0,2,1298.701299,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,52.0
164,Owner,0,1,2,1137.068431,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,55.0
165,Dealer,0,0,2,1299.234136,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,47.5
166,Dealer,0,0,3,1268.2244859999996,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,63.5
167,Dealer,0,0,3,1484.88121,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,55.0
168,Dealer,0,0,3,1800.055386,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,65.0
169,Owner,0,0,3,1725.4128670000002,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,70.0
